  R0   T0   rho0
0.967 1.200 300.000
1.033 1.200 67.105
1.033 1.200 82.632
1.033 1.200 98.158
1.033 1.200 113.684
1.033 1.200 129.211
1.033 1.200 144.737
1.033 1.200 160.263
1.033 1.200 175.789
1.033 1.200 191.316
1.033 1.200 206.842
1.033 1.200 222.368
1.033 1.200 237.895
1.033 1.200 253.421
1.033 1.200 268.947
1.033 1.200 284.474
1.033 1.200 300.000
1.100 1.200 51.579
1.100 1.200 67.105
1.100 1.200 82.632
1.100 1.200 98.158
1.100 1.200 113.684
1.100 1.200 129.211
1.100 1.200 144.737
1.100 1.200 160.263
1.100 1.200 175.789
1.100 1.200 191.316
1.100 1.200 206.842
1.100 1.200 222.368
1.100 1.200 237.895
1.100 1.200 253.421
1.100 1.200 268.947
1.100 1.200 284.474
1.100 1.200 300.000
1.167 1.200 51.579
1.167 1.200 67.105
1.167 1.200 82.632
1.167 1.200 98.158
1.167 1.200 113.684
1.167 1.200 129.211
1.167 1.200 144.737
1.167 1.200 160.263
1.167 1.200 175.789
1.167 1.200 191.316
1.167 1.200 206.842
1.167 1.200 222.368
1.167 1.200 237.895
1.167 1.200 253.421
1.167 1.200 268.947
1.167 1.200 284.474
1.167 1.200 300.000
1.233 1.200 51.579
1.233 1.200 67.105
1.233 1.200 82.632
1.233 1.200 98.158
1.233 1.200 113.684
1.233 1.200 129.211
1.233 1.200 144.737
1.233 1.200 160.263
1.233 1.200 175.789
1.233 1.200 191.316
1.233 1.200 206.842
1.233 1.200 222.368
1.233 1.200 237.895
1.233 1.200 253.421
1.233 1.200 268.947
1.300 1.200 36.053
1.300 1.200 51.579
1.300 1.200 67.105
1.300 1.200 82.632
1.300 1.200 98.158
1.300 1.200 113.684
1.300 1.200 129.211
1.300 1.200 144.737
1.300 1.200 160.263
1.300 1.200 175.789
1.300 1.200 191.316
1.367 1.200 36.053
1.367 1.200 51.579
1.367 1.200 67.105
1.367 1.200 82.632
1.367 1.200 98.158
1.367 1.200 113.684
1.367 1.200 129.211
1.367 1.200 144.737
1.433 1.200 36.053
1.433 1.200 51.579
1.433 1.200 67.105
1.433 1.200 82.632
1.433 1.200 98.158
